Quadrimestre,Codigo,Disciplina,Creditos
Quadrimestre 19 (Misto),ESTS012-17,Aeroelasticidade  ESTS,4
Quadrimestre 19 (Misto),ESTS013-17,Projeto de  Elementos  Estruturais de  Aeronaves I  ESTS,4
Quadrimestre 19 (Misto),ESTS015-17,Combustão I  ESTA,4
Quadrimestre 19 (Misto),ESTS016-17,Aerodinâmica I  ESTS,4
Quadrimestre 19 (Misto),ESTS017-17,Sistemas de  Propulsão I  ESTS,4
Quadrimestre 19 (Misto),ESTS018-17,Transferência de  Calor Aplicada a  Sistemas  Aeroespaciais  Opção Limitada,4
Quadrimestre 19 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,24
Quadrimestre 20 (Misto),ESTS902-17,Trabalho de  Graduação I em  Engenharia  Aeroespacial  ESMA,4
Quadrimestre 20 (Misto),ESTS903-17,Trabalho de  Graduação II em  Engenharia  Aeroespacial              Créditos,22
Quadrimestre 20 (Misto),ESTS904-17,Trabalho de  Graduação III em  Engenharia  Aeroespacial              Créditos,24
Quadrimestre 20 (Misto),ESTS905-17,Estágio Curricular  em Engenharia  Aeroespacial  ESTS,4
Quadrimestre 20 (Misto),BHQ0302-13,- Identidade e Cultura,4
Quadrimestre 20 (Misto),ESAU010-23,Cartografia e  Geoprocessamento  ESTU,4
Quadrimestre 20 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,62
